Puzzle,Solution,
9..4...2.4..9.2..12.1..........3............6.36.5....68...15......65.9..4...9.8.,968413725453972861271586943592637418714298356836154279689741532327865194145329687,
..2.....4.8..145....157..6...48...256..2.7...1.....4.8.....5....6....9.7..5......,532986714786314592941572863374891625658247139129653478297465381463128957815739246,
....6...1.46.98.7.85....6.4.....5.9.4...7......7.1.536.6...7...9........71.......,372564981146298375859731624631825497495673218287419536563987142928146753714352869,
...9.7..53...8.74.......2....8.46......2...........9.845.....7....5......2983.4..,214967385365182749987453261198346527573298614642715938451629873836574192729831456,
...8.....1.64..38..5..2...75......7..1.37.4...2....1.67.......3...1.3..5.......1.,472836591196457382358921647543618279619372458827594136781245963964183725235769814,
2...9..7...8..41.2.......4..8.......1.5...7..79....4.3..32...9751.9.7.......4..3.,241895376938674152657312948384729615125463789796158423463281597512937864879546231,
6.8..4..1..4.1.....1..9.6..3.7..19...9..7..58.....6..448...9......84.......3.5...,638754291924613875715298643347581926196472358852936714483129567569847132271365489,
9.4...61...8.....5.2..9...846........31....6.8..5..1......4.......36.2.43...1.8..,974258613618473925523691478465127389731984562892536147256849731187365294349712856,
73.......8...71.....1683.....2....5.6.7..5.29.1...9..7.......7.....68.9.5...2.1..,736452918854971236291683745982736451647815329315249867128594673473168592569327184,
3....2.....8..6..54..58.9..6....15.3..........432......9.......8..4.31.....19.2..,356942871978316425412587936629871543185634792743259618291765384867423159534198267,
..36.8....2....1.....5......4.9.....8..4...31.1.2.......53.42......6..8.49...5..6,153698427928743165764512893346981752872456931519237648685374219237169584491825376,
.7.........62...9......9..87..5316...51.7.8...3..6....3...962...82......5..3.....,975183426846257391123649578798531642651472839234968715317896254482715963569324187,
7...21..814..9..37..8..794....6..3....3.......76............68....9781...2.......,739421568145896237268537941412689375983752416576143892397215684654978123821364759,
.9......6..7.....1.46..19874..6...381..58.76..8.3..........4.......7.5..........9,291738456857496321346251987475619238139582764682347195518924673964873512723165849,
1.69..8...3..1..7..7..4591..6.7..3....1.6.79..95...6.4..........5...3.....8..7...,146972853539618472872345916264759381381264795795831624923586147457193268618427539,
.....5......6......1.7....4.45..23........8.7.2...6...87.34...5....1...353......1,386495172457621938219783654945872316163954827728136549871349265692517483534268791,
.5....8.........37........17.593....49...2....8...1.7..14..8..9......3.28...93.4.,152347896648129537937685421765934218491872653283561974314258769579416382826793145,
.4.5.6..8......6.72.9......43.....79.8.....4...7...8.3..5.....692......587..2..9.,743516928158492637269387451432658179681739542597241863315974286924863715876125394,
67..9....9.18.7..3....4.2....9..4..2.8.......46....8.....9.3...194.....8..3...6..,672395184941827563538146297319684752285731946467259831826973415194562378753418629,
.......3..3..862.4....41...4197.2...7.84.9.6.....1............78.7.24.....369....,984275631135986274276341895419762583758439162362518749641853927897124356523697418,
..6..7......8...4.8......9.7.8..1.564.1..6..89.....4......6.38...7.....1.93...5..,346917825159823647872654193738241956421596738965378412214765389587439261693182574,
5..19.....9..8...........78.1...9.......54.1.6..7...391...7..4..4...6.91..83.....,586197324793482156421563978217639485839254617654718239162975843345826791978341562,
.8...6........3..7...........3194..6..7.5..43.5.........4.3...8......1.43.67...5.,782416395945283617631975482823194576167852943459367821294531768578629134316748259,
......7..1.4.7..5.3.5.....97.9....8....1.4........73..4.....8..5.2.9......3...941,928541736164379258375862419759236184236184597841957362497613825512498673683725941,
..5....3.....3.5....8....1.....5..9..2......39.....8.6.81.456...5289.1..4.926....,165489732794132568238576914843657291526918473917324856381745629652893147479261385,
8....5............9.586....3.8....6....3....9497...18..5..87.1....9....67.3..1..4,841295637236174958975863421318749265562318749497526183659487312184932576723651894,
.7..6....1...43....23.....5....1.7.......5.......2.4.6.5.8..24.2..471.8...8...3..,875162934169543872423987615392614758684795123517328496951836247236471589748259361,
.9...8.2...1...7..4.....1....96.2..1.8.....977.6...4..6.3.91..82....7.......6....,397148526821956743465723189549672831182534697736819452653491278214387965978265314,
....8...9....328.....69.5...39..4.6..8...62...25.........3.51.....2..4.8..3.4....,762581349951432876348697521139824765487956213625713984874365192516279438293148657,
...9....298...6.1.2.7.584.........2.5.........4.7.......4....956.98.1.7.....4...1,461973852985426713237158469398614527576392148142785936814267395659831274723549681,
.1.2...........8..3........1.2...3....8.3419..3..9.7.8..1..89.7...72.....84..1..6,819263574526479813347815629192687345678534192435192768261348957953726481784951236,
...1.....768..4....49.......3.....814....8..66...4..7.85....3.7..6..1..8..4..5.9.,523197864768534129149682753237956481495718236681243975852469317976321548314875692,
3..4..5.68..........6.32.8..82...9..6.1.9.....9.5..8.3.1.....3..............614.2,327418596849675321156932784582143967631897245794526813215784639463259178978361452,
...9.1..63......21...4.5...9421.7.......5.....76......21......4.......176.....9.2,428931756395876421761425893942187365183654279576293148217369584839542617654718932,
.26...4.8..3.......9...5.3......8...4.....5.7..9.........4.6.5.7..3..9.2.3..89.4.,526193478173864295894725136257648319461932587389517624912476853748351962635289741,
.2..5.1.............4....5....97..2.1..5.697....1.....5.9.6....64......231.4..5.7,926857143751634289834291756465973821183526974297148635579362418648715392312489567,
.83...79......3.184..91..5.79..........2.........41......7.5....5....3.28.9.3..7.,183524796925673418476918253791356824348297561562841937234765189657189342819432675,
5....2.4..93........6.9152.....3........89.....41.....6.28..95..3..6.4....8.4....,581672349293458176476391528129734865367589214854126793642813957935267481718945632,
4...2.7.812..86.9.6.8..9.................4..1......2...1.4783...7.3.......6..1.2.,459123768127586493638749512264817935583294671791635284912478356875362149346951827,
.......7...2.7.4.1...9....3.......5.5...23......4..72...874......73..1.993.8.....,469231875382576491751984263826197354574623918193458726618749532247365189935812647,
..........3165........2.16.4..9.6.2.9.7......1......53...1..4...6...4...3..7..6..,672841395831659274549327168453986721927513846186472953295168437768234519314795682,
8.....9.4...95......4..3.1.........1.52.......6.52.83...6..8....31.4..........1..,823176954617954382594283716378469521152837469469521837946318275231745698785692143,
.....4698.....82......7.....5....1......927....68..5..5....1.4..14.2....7.9.6.82.,275134698641958273398276415957643182183592764426817539562381947814729356739465821,
..49.23..321...5...9.7....6..5..92..9...17..56..5...91..6............7.41........,764952318321648579598731426815369247942817635637524891476295183259183764183476952,
.8....56269.2..3............7....825.......4....8..7.6..79.8..353...748..6843..5.,183749562694215378752386194379164825826573941415892736247958613531627489968431257,
......2.8.2..31......7..........31..4.5..2.6...2.6..3..8.....4....51..83.4...8..7,153649278729831456864725391678953124435182769912467835581376942297514683346298517,
.72.6.5.18..3..79......7.8....9.......5.......9.75...2....95.7..36......51...8.6.,472869531851342796369517284743921658625483917198756342284695173936174825517238469,
5.1627.8..7.3....486.4.1....5.....4..24...8636......5.4.........32......7....5...,541627389279358614863491725358216947124579863697843251485732196932164578716985432,
8..7.3..9..1......4...5....179..8.6..8...4.5...59.........95....1...6...7.68...4.,862743519951682734437159826179538462683214957245967183328495671514376298796821345,
25...79..79..51.8.....6..3...8......1.....2.....2.9...........6......571.6.31....,256837914793451682841962735528176493179543268634289157915728346382694571467315829,
........7951.68...6..9......96.841.....1.673.3.........4.....9.1.5.....4.......85,438215967951768423627943518796384152584126739312579846843657291165892374279431685,
2...4.76..463.7..8.....94.2..489..3........9...3...6.7......8.9.....4.....71.2...,219548763546327918738619452174896235685273194923451687461735829852964371397182546,
5.1...7...6.1......47.....1......6........1.27...4..8....82...42.8.7.5.9.74.56...,521984736869137425347562891493218657685793142712645983156829374238471569974356218,
.....6..3.1.....982.9..8.5......9....3.6.418...51...69.64......1.2......59....64.,458926713316745298279318456621839574937654182845172369764593821182467935593281647,
..53.9.6..8...6542.........2..4.7.9......84........7..7.4...63..98.....55.....2..,415329867983176542672845913256417398137958426849632751724581639398264175561793284,
51.7.6.9.......4....94...56..16.5....8...76.......1.246.....9.8............9.47.1,514786293362519487879423156421635879983247615756891324645172938197368542238954761,
..41.7....2...4...75.......5..23...7..1.6.3.4..8.......8......13....65......52...,864127953123594876759683412546238197271965384938471265685349721392716548417852639,
..417..95.1..528..32...4...56.....3.4.....759..............59....2.9....1.3..8.7.,684173295917652843325984617568749132431826759279531486746315928852497361193268574,
.7.9.4..2.1.6...5...43............17.2..1..6...9...2.5....7...62......4.3..4.6...,673954182912687453854321679435269817728513964169748235541872396296135748387496521,
45...1.6....8...5....7.9.....84.....1.........42.6......79..5..8.1.......6....2..,459231867713846952286759341638412795175398624942567138327984516891625473564173289,
.5..........4.9...6..1..9...1....87...4.5..1.8.3..1.6..9..8.5..385......14......6,459268137721439658638175924512346879964857213873921465296783541385614792147592386,
......7....6..1.8....68.31.5.819.........5..1.....7.4.8.....93..61..485.....7..6.,189453726356721489724689315548192673637845291912367548875216934261934857493578162,
.2......9..5687.1......1...4.7.....5.....6...51.......8..4........162.9.26...9..4,128543769945687312673921458497218635382756941516394287839475126754162893261839574,
...4......5423....8...97...9.85..6..2...49..7....7.......7...5..398.........53.84,793485126154236978826197435978512643265349817341678592482761359539824761617953284,
..8..9.3..61.3..48.....51...2..9.5......4..12.4.......8.3......4..2.8..3.........,278419635561732948934685127327891564689547312145326879893174256416258793752963481,
.73..........4..2.4......86...........9.8574.3.6..4....5.27.9..9.......8.67......,573862419698143527421597386745319862219685743386724195854276931932451678167938254,
.24..79....9....7.61..2.4........6.5.....5.43.613....7.......24...9.4.......3..6.,324187956859463172617529438483792615972615843561348297195876324236954781748231569,
...2..7.........68....7823.7..6.24.5.............31...3...4.1..84.1.6.5216...5...,538269741972413568416578239793682415681754923254931687325847196847196352169325874,
.....486.26.7.......5.....9...2...7...7..8..3......5..6.95.74....49...3.8....2..5,791354862268719354435826719386245971157698243942173586619537428524981637873462195,
........6628..3...3...45..........9.53.....2.9465...8..859.1.....1....4......2...,154278936628193475379645218812364597537819624946527381485931762291756843763482159,
.3.......274........924.3.16..7..42.92.......4.....1....16.8...8.....2.....1.7.96,136875942274931658589246371613789425928514763457362189791628534865493217342157896,
.9...6.35.56..289........62...4.8....6.....5..37.69.....974..8..7....4..........9,492876135756312894381954762925438617864127953137569248219745386578693421643281579,
.3...981...2..3.79..7.6.24.9..8....7.4.........1.74....149.7.3......8......3.....,435729816162483579897165243926831457748592361351674982214957638673248195589316724,
..17....58...5...7.....4.891....39...9784..3..36.7.1....95..............5.34..8..,921786345864359217375214689158623974297841536436975128789532461642198753513467892,
.54....61......2..2......48....7513........76..6.43...58....4....1....833..8.7.2.,954728361168534297273196548892675134435281976716943852587362419621459783349817625,
.........73.....4.25.........831..7..2...598...489..1.....4..914..5....2...1..8..,846951327731628549259734168968312475123475986574896213685243791417589632392167854,
72..18......6....3......178..5.81.6..8..7.23..6..24..1.......1.8....5.4..5....7..,723418659518697423496253178245381967981576234367924581632749815879165342154832796,
5.8.7.3.....64.81....1......74.6.1........5..6.2....4......6....8.....2.....2865.,518972364239645817467183295374569182891234576652817943125496738786351429943728651,
.6...7.9....3.....1..8..374..65.1....8......571....4....39.65........9........7.1,364157892827349156159862374436591287982473615715628439273916548641785923598234761,
...6.8..53.8.7......6...92...98...64.....9.5.28.4..7................359.975..2...,194628375328975641756341928519837264467219853283456719632594187841763592975182436,
7.6......8..3....94.56.7.1..4.1..73........41........8.....53..357.....6....9....,736918425821354679495627813549186732683572941172439568914265387357841296268793154,
81.6.....2...847..75...26....5...........5.2...2....4.....4..53....631...8.15....,814637295296584731753912684475326819168495327932871546621748953549263178387159462,
...7849.13...6.2...7.1....6..6..71......4.........1..39236..7.47.....8...8......2,652784931341965287879132456436597128218346579597821643923658714764213895185479362,
.3..25.1..7....9...2.3..6.8...872.6....5..8.3..........5..1......9...3...8.96.12.,938625714576481932421397658394872561217546893865139247652713489149258376783964125,
.15..7.393.4...7...2....5...5..7..91......2.....6.1.4.....6..75...2..........46..,615827439384596712729143568856472391471389256932651847243968175167235984598714623,
96.13......465.....7..9....68..........54.7....3.......5.48..1.89..6.5.7...9...83,968137452234658971571294836685719324129543768743826195357482619892361547416975283,
.....3...4.7...38698.....5..4.....9.6...9.8377..328..5............7.4.69...95....,165843972427519386983267154348675291652491837719328645594136728231784569876952413,
9...7.4....7..2...4..6....1..81.6....5.......79..5.8..2..4..5....5.67....7.9.....,986571432517342698423689751348196275652738149791254863269413587135867924874925316,
..5.3.......2.........7.4...4.3..5...79..4.1.8...91.4.7835....2.1........2.7.....,165438927497265831238179465641327589379854216852691743783546192516982374924713658,
..3..8.47.2....5...1...5.8..3.1...74..5...6.32..7...5...1.7......8..6....5.....6.,563218947829347516417695382936152874175489623284763159691874235348526791752931468,
.841.....5...3.....16...5..4....8.7....7913....53...1..4..8........6.1.9.9.5.....,784125693529836741316479528431658972268791354975342816143987265857264139692513487,
.69....17..8......3...7..8....8.....7....9...6....3..1....52...52..81..6.9..6..3.,269538417178294653345176289913825764784619325652743891436952178527381946891467532,
9..1..38.5.4.....7.3.9.2......7.8.....2....31..32..7..2..8..1.5...57.8.2.........,926157384514386927738942516451738269872695431693214758247863195369571842185429673,
76832........14...1.......9...28..6..816.7.3............7....9..36........2843.7.,768329451293514786154768329375281964481697532629435817847156293536972148912843675,
...65.........9..6...3.8157.4......1.567...8............1...8.4.7.89....4.9.36...,734651928518279346692348157847962531956713482123485769361527894275894613489136275,
.16......3.2.7......7...3.9.....65..6.......8..18.27...9.7..835..5.....2.8.......,916483257352179684847625319478916523629537148531842796294761835165398472783254961,
4..87....7..9......39..2..4.7.......9....3....2....94...6....785.3..8..22...453.9,452876193718934256639512784874291635961453827325687941146329578593768412287145369,
....29..65.24..7.84...8.....74...........7..2....5....8.....6.....364.2..3.8...95,783529146592416738461783259674932581358147962129658374847295613915364827236871495,
9.......813...72........53.24..........5.....81.4....9.7..4.........978.....7.425,957324168136857294482916537249783651763591842815462379678245913524139786391678425,
..56..8...6..27..........67.......54.4.9.6..891.......7.9...521.....5.7.6.......9,375619842864327195192548367236781954547936218918254736789463521421895673653172489,
......4...96..5...8.7......2.8.46.377..8........5....2....638..5......93.3.....4.,125389476396475218847621359258146937713892564964537182471963825582714693639258741,
..73..6...6.48..3...9..5.....15.8.4.....1.5..34.......614....7...........7.15..8.,187392654562481739439675128791538246826714593345269817614823975258947361973156482,
..6......7....5....3..1...........8..8.3..5...918...3.27...836....92..1.9.5.7..28,156789243728435196439216857347562981682391574591847632274158369863924715915673428,
7...45.8.1...2.6.5...9...7......2.....1...9..9..78..5..4..........4...21....5.76.,762145389193827645485936172576392418821564937934781256247618593659473821318259764,
.2..135...9.6.....56.8.....7...6.1.9.......6........8....3.....9..1..275....528..,827913546391645728564827931738264159412598367659731482285379614943186275176452893,
...5....4.613..5......7...3..2.......4...3.16.18..7.....7.816...36..2.7.8........,273518964961324587584679123392165748745893216618247395457981632136452879829736451,
4..3..7....8...43..29......7..4.....2...851.....9........23...8...17..4..1...9..2,465318729178592436329647851786421593293785164541963287957234618832176945614859372,
...5..73..7..812..8.2....61.67..58125.19..673..........18..........6...7.....9...,196542738374681259852397461967435812541928673283716945718254396429163587635879124,
.5..4.2.727.9...5........1..8..24.3...7.....554..1...9.93........4......81..3...2,358641297271983654469275318986524731137869425542317869793452186624198573815736942,
9.86.3.....19..6...6....2....2.....1....9.78...9..........758.6...3.6.5.7.....3..,928643175531927648467851239372568491645192783819734562193475826284316957756289314,
...4.7....8....69.........45...7.....3.8..4..4.13.97......13......95..68........9,619487253284531697375296814528174936937865421461329785896713542743952168152648379,
.....4.8.5.3......49..1.263....2........63...2...95....2..41..86.9...15.8.....3.4,162934785583276419497518263914827536758163942236495871325741698649382157871659324,
1..6....53.795..1...5......5.....943..9..2....63...7..4...3....2...........57...6,194623875327958614685741392512867943749312568863495721478236159256189437931574286,
8.....59.....591.2...6........82.6...9..3..1.6....5.7......1...12..9.8..3.5.6....,832147596467359182519682743751824639298736415643915278986271354124593867375468921,
....3...9.97.........7.6...37.........1.48....2.1...6.1..6..8..849....7...62..4..,614835729597421386283796514375962148961348257428157963132674895849513672756289431,
..5.....3.9..5....32.........2....157....1....4892...7...48..2...71....8....3.4..,675249183891653742324718956962374815753861294148925637516487329437192568289536471,
9..1...6.8....7.5..4.9.......6.......3.....171.47....3.1.679.....3.1......53..4..,957183264861247359342956178726831945539462817184795623418679532293514786675328491,
4...7.8.......276.1...................8....41..65.7.8.8....6.2331.8......5.......,465379812983142765127685934531498276798263541246517389874956123319824657652731498,
.3..4.9.667...9.2.2.....1..7....1...........5.2435.67.....6.29.....2...3......4..,531247986678139524249586137785691342963472815124358679457863291816924753392715468,
..4..7.9..1.....6.......4.8.3..89.7...74..9..4...13..238......6..2...83.......1.7,524867391918342765763195428231589674857426913496713582385971246172654839649238157,
..4....8......721.3.28..7.52...9.....4......1..73..854..9.....3...5.......8......,174259386856437219392816745285194637643785921917362854529648173761523498438971562,
9...31.4....62......2...8.1...5.........64.....62..513...1..3.4...3..28..48.....5,975831642184625937632479851827513496513964728496287513269158374751346289348792165,
.1...94..8....3.....5..6..1..3.5.6..9...........7..8.......41....41...5.63.9.....,316579482849213576725846391173458629958632714462791835597324168284167953631985247,
...9.712.3.51.24.....6.....63.........7..9..4.94....35.6..7..12.5....9....1....4.,846957123375182469912634857638745291527319684194826735469578312253461978781293546,
...8..4...9.2357.....7...38.....739...1...5...4.........74..1...34.1.82......2..3,273861459498235716615794238852647391761329584349158672927483165534916827186572943,
.....1...........4...9..63.1.465.3.......31.59..2....72..3....94..5......7...45..,546831972391762854782945631124657398867493125953218467215386749438579216679124583,
.8.4.....93.....2.......9.12..3..1...1....473..7..92..1......3......87968.......4,681492357934751628752683941248375169519826473367149285175964832423518796896237514,
..6..7.42.9.61...5...4.57...7.2......297.48.1..1.89.7...........6.....9.4......28,356897142794612385182435769873261954629754831541389276938526417267148593415973628,
..6...8......4159....2...1.....791.....8.5.....96...75.9..5.468....82...1........,716593842328741596954268713562379184471825639839614275293157468647982351185436927,
.4.3..81.7....2...6.578..3.......2...7....1....35....4.5.1.....3..8..67...2......,249365817738412596615789432984671253576243189123598764457136928391824675862957341,
.......81..8...3253........24.5.9..6..6..............9.81..394..2..5..18.9.2.....,479325681168497325352861497247589136916732854835146279581673942623954718794218563,
...........8..1........7562.159.2...98.......6...........2.6.75.2.7.584.1..4...9.,263549718578621934491387562715962483984153627632874159849216375326795841157438296,
....6..3.....98.1...93..8.5...8.9..6..5.4.1.....6...4......6....1...3.674...1.5..,784165239523798614169324875241839756635247198897651342358476921912583467476912583,
..24.8....1..5.9.........353.......412............2.5...8...7..2947...1..7...95..,952438176413657928867921435385176294129543687746892351538214769294765813671389542,
.8..7.5.......6.8..1.....79.....592...5.1........8...3.32..1.9.9...6.........38.6,286974531793156284514328679861435927325719468479682153632841795948567312157293846,
..8.9...66..1.5..8..5.7.3....29....1.9..8..2.38..27..51.....5.......6.9..........,718392456639145278245678319572963841496581723381427965164239587823756194957814632,
.....53.....4....6.8.....7.....39..772...89...4.62...5......28....2.3..95...9....,216975348357482196984361572865139427723548961149627835691754283478213659532896714,
7......5..2....1.9...6.42..169.....2......6..5......9..4.1..3.53..2.....9.64.7...,731892456624573189895614273169748532473925618582361794247189365318256947956437821,
...3...1..73..6.....5.2..3..4.6.31....6.79...7.1.5.......79.4..2........594...2..,829347516473516928165928734942683175356179842781254693638792451217465389594831267,
9....73..3.8...6...75..6...........8......52...7.8..9.6....5..2...1....58.23..91.,926847351348251679175936284269513748481679523537482196614795832793128465852364917,
...3..6.4.......37...61.8......4...1.469...8.395......6..8...4....47.5.9.........,527398614861254937934617852782546391146932785395781426679825143218473569453169278,
1..7.49.8.....26....7.....2..98.3...6.........74......3861.....9.2....6..1...8...,123764958498532617567981432259813746631497285874256193386129574942375861715648329,
3.82.1....5...4....29.5..4....73..25..2.4....7958..3......7...........3....5...97,348261759157984263629357148416739825832145976795826314963472581571698432284513697,
....76...5.3.4.....9......5....1.7..36.9..4...7..84.614........1.645......8......,842576139513849276697132845984615723361927458275384961439761582126458397758293614,
.1...5.8.2...3..9.3..68...1...4..9........4...3..9....8...4.....6..195..4.5.6...2,617925384248731695359684271186472953972358416534196827821543769763219548495867132,
.15....2.6...5......4..2..3...5....9....3.......6.8.5.5..1.34..8.3.4....1..82.9..,315489726672351894984762513268517349759234168431698257596173482823945671147826935,
...1.7.94.3.5....8..2...3.78....4......3........7.1...7..4...8.1.48.3..9..3.5....,568137294437529168912648357871264935649385712325791846796412583154873629283956471,
...1..7.5.....6...41.......7.5.......945......6..9.1....2.5..9..7...36.26..2.1.3.,286139745957426318413875926725314869194568273368792154832657491571943682649281537,
.84....6..6.1....32...8.1..3..719.........3.7.9........29.4...16...3...28....7..6,184375269965124873273986145358719624416852397792463518529648731647531982831297456,
758..32......7...9.........3.....564.6..54.7.....37.....9......684...3.....9..4.5,758193246246578139913462758372819564861254973495637812529341687684725391137986425,
..3.4...8......5.4...1.......2.....7938.7..2..1...53.9.8...4..3..9...7...2..3.9.1,253746198196328574874159632562493817938671425417285369781964253349512786625837941,
.93......8...2.97....7....65......8...93..7.2..2..8.6.....7.........5817.3....52.,793614258864523971215789436541267389689351742372948165458172693926435817137896524,
.2...143..5.74..98...9.2..13.7.5...2.85....1..1........71......9.........432...5.,729581436156743298438962571397156842685324719214897365571638924962475183843219657,
....4.2...923...7.......68..4.9........2..9....3....25.67....4.43..76.9.....3.8..,178649253692385174354127689246953718785214936913768425867592341431876592529431867,
...............5485....9...8.1.....3.5.7..8..79..4....476....3....61......35...8.,247856319639127548518439267861295473354761892792348651476982135985613724123574986,
....5..4..7..6....5.24..6......3.2...3...6....8659...........396...2...78.4.7...2,369152748478963125512487693941738256735216984286594371127645839653829417894371562,
.1..7.94.78..9...5..943...2.3........9.51.2...25.8..........318.........5.......7,213875946784692135659431872836249751497516283125387469962754318371968524548123697,
3....6....9...87..42.........74.1..8.1.2...4.8.....13.9.....6.....1.7.2..........,375946281196328754428715396237451968619283547854679132941832675583167429762594813,
..1.......59.86....8..2..9...6...75......2.649....7..2.....86..1..7..249..7.....1,621975438359486127784321596216849753873512964945637812432198675168753249597264381,
9....4.6..8.56..39.3......2..9...4..........5864....7.6.8.3.....43..8....2.4.5...,975324861482561739136987542359276418217843695864159273698732154543618927721495386,
85..134...3.........4...6.....5.4....1....8.65.9.8.........7......3.61...958....3,857613429936425781124978635783564912412739856569182347341297568278356194695841273,
.7.12.4........7......98....1.4..87....6....5..2..9........52.69...6...1.6..8..5.,573126498698534712421798563316452879849673125752819634137945286985267341264381957,
.5.471..9..7..9.5.1..5.....42.........9..8....1.......94.1..6......4..87.7...5..2,653471829287639451194582376425396718739218564816754293948127635562943187371865942,
....8...........15.....632.......532...735.8....2....95.9...4..1.6..4.53.23..81..,351482976264397815798516324617849532942735681835261749579123468186974253423658197,
.......92.....63....9.7.4.62.......7......9.4.4...985......376.7..985....84.2....,876354192412896375539172486298541637153768924647239851925413768761985243384627519,
....5...7..7...5.215.6...842....4.....67........9.2....9....4..6...287..4...7..68,849253617367841592152697384271384956986715243534962871798136425615428739423579168,
29...........5..............7..3.4...1.27.56.5...4..2..25..4.9.1....364.6....97..,297386154361452978458197236872635419914278563536941827725864391189723645643519782,
..8......92.3......4.7..2..197.............9.2.46..7...8.....434...1...2..982...6,758296431921345867643781259197438625865172394234659718582967143476513982319824576,
93.....6..2.3.5...5.1.6...46..4.9.5....1..8........4..3....6..9......6.8...924..3,938741265426395187571268934682479351743152896195683472354816729219537648867924513,
.4.71..6....26..8..75....1.13........8..5...4...67...8........27..4.8..5..4.3....,842719563391265487675384219137842956286951734459673128568197342713428695924536871,
.....5..3.291....8.......7..8...2...2...87..9..16.....9.7....12...5..8.......1...,174895623329176458568234971486912735235487169791653284947368512613529847852741396,
....1759..9.65.1.......3..7.1...69..26................1...3.7.97..4.12..32.5...6.,632817594897654123541923687415386972263795418978142356156238749789461235324579861,
.96.5.....8..9.2.3.....6..86..28...7...3.......5...4..347...8..8..6.......9......,296853741581497263473126598614285937728349615935761482347912856852634179169578324,
.7.......5.....8.4..1....3.9...83..1...59...83.74.25..2...5....8.5...7...3....21.,678934152593271864421865937956783421142596378387412596214357689865129743739648215,
74.....8..56.......3....1...1...3...6.......49..68.3.....8........7.146347.5....8,749312685156478239238965147517243896683159724924687351361894572895721463472536918,
..26.....3.......9.9....14.1.....2.6...4.2..8.......7..2...4....679...1..1...3.8.,472691853351847629698235147145789236736412598289356471823174965567928314914563782,
14.6...5..28.....6.....5.3....3...75231.......7..........5...6.....43..77..12...4,143697852528431796697285431486312975231759648975864123314578269862943517759126384,
52.36....3.....42..8915..6...8.4.1..6.....8...5.....3.......21..6..9..48....286..,527364981316987425489152367738249156641573892952816734874635219263791548195428673,
.56....2.3...9.....2...5.342......4....75.....7.2.6.......7......58.4.6.9..6.....,456387921318492675729165834263918547894753216571246398642579183135824769987631452,
.1.7.....9.82..6..6.5.9.4..4....52........95......7..48....4.26.........5.1.7..8.,214756893938241675675398412489165237167423958352987164893514726726839541541672389,
6.34...1.........215.....9....8.25...8..594...6...3.....2..86.........3.4...3....,623497815947185362158326794394812576781659423265743189532978641819564237476231958,
.......622.9..4..7.....74..4.67.18....85...9.9..4.6.........15...12...497........,547813962219654387863927415456791823178532694932486571624379158381265749795148236,
